gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.1	6246	1859	3206	775	63	6323	12775	1957	969	167	1672	3482	720	831	0
MSTRG.10	10	5164	24	0	0	35	4093	36	0	0	38	4248	43	0	0
MSTRG.100	65	33	531	43	3158	134	182	54	2	4096	12	30	829	0	2559
MSTRG.1000	1947	647	3017	8947	75	1641	2436	1058	5813	112	1691	697	3611	3634	81
MSTRG.10000	118	10241	2785	2279	92	3	8123	2589	1165	356	6	12461	2886	2524	0
MSTRG.10001	319	2242	20	5636	117	316	2783	3	1360	1232	230	5005	46	3433	25
MSTRG.10002	752	233	2103	5253	0	655	97	1183	4258	0	284	332	2264	3174	99
MSTRG.10003	1877	1382	3084	3549	820	914	915	3477	3189	3063	958	1594	4776	2116	373
MSTRG.10004	0	1368	2170	7349	4926	0	838	1507	4480	5640	0	1206	2484	4359	4657
MSTRG.10005	1303	683	247	170	50	749	459	129	176	161	214	714	360	86	53
MSTRG.10006	2168	1857	894	5156	99	1891	2211	898	3333	82	2249	2365	750	3272	98
MSTRG.10007	467	3168	842	153	3995	668	2493	466	119	7284	306	1869	804	73	3506
MSTRG.10008	477	157	263	118	2409	740	57	134	111	3416	333	57	204	71	1563
MSTRG.10009	861	3221	0	947	460	335	1333	0	741	694	402	2349	0	630	963
MSTRG.1001	4017	106	3407	7	32	5924	18	4785	48	259	2376	20	4422	0	49
MSTRG.10010	4703	526	0	373	3553	5509	227	2	592	3703	1281	135	3	648	1851
MSTRG.10011	1731	71	595	5844	473	816	132	733	4841	1235	928	242	572	2803	803
MSTRG.10012	270	3463	1428	39074	513	1135	2893	985	18731	337	641	1755	134	6598	306
MSTRG.10013	0	1245	394	393	644	0	215	553	1929	1060	0	762	354	216	521
MSTRG.10014	131	5071	621	69	461	130	7263	575	7	604	33	7033	490	15	518
MSTRG.10015	582	41	175	7619	3972	367	72	251	15568	4560	458	41	139	6100	3127
MSTRG.10016	66	1715	134	66	1980	325	3022	70	0	13151	63	1573	64	2	1297
MSTRG.10017	0	0	917	75	600	0	0	889	101	1062	0	0	1514	79	269
MSTRG.10018	138	0	1519	99	5139	0	0	1367	125	6229	6	0	1265	25	2107
MSTRG.10019	0	320	12369	29692	3492	0	3	7497	9299	5681	0	478	14473	22615	2019
MSTRG.1002	1273	449	314	4101	1244	1399	605	230	4745	1695	1166	685	74	2468	1359
MSTRG.10020	27	24	4695	14638	58	51	400	2224	11859	127	4	144	9370	13756	77
MSTRG.10021	37	1990	1809	171	1762	25	9	1510	12	2095	8	0	2012	118	1689
MSTRG.10022	0	379	581	183	63	0	1957	545	3	30	0	802	444	156	44
MSTRG.10023	0	259	6640	86	1838	0	1626	4758	2	1635	0	487	3813	7	1833
MSTRG.10024	9167	27	5262	0	119	3083	11	806	0	105	2854	5	5551	0	197
MSTRG.10025	0	2148	2186	724	300	0	2668	1105	639	226	0	3145	1941	643	72
MSTRG.10026	126	26	23	1468	1545	109	1478	2	579	1216	47	955	0	1857	1402
